"year","indicator","perspective","group","country","amount","unit"
"2011","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.16669,"Million tonnes CO2 eq."
"2011","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.40704,"Million tonnes CO2 eq."
"2011","Climate Change (Short-Term)","Domestic production","CO2","Albania",3.07875,"Million tonnes CO2 eq."
"2011","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.85992,"Million tonnes CO2 eq."
"2012","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",7.90636,"Million tonnes CO2 eq."
"2012","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",5.19435,"Million tonnes CO2 eq."
"2012","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.22659,"Million tonnes CO2 eq."
"2012","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.4832,"Million tonnes CO2 eq."
"2012","Climate Change (Short-Term)","Domestic production","CO2","Albania",2.75365,"Million tonnes CO2 eq."
"2012","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.91614,"Million tonnes CO2 eq."
"2013","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",8.01728,"Million tonnes CO2 eq."
"2013","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",5.30196,"Million tonnes CO2 eq."
"2013","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.20791,"Million tonnes CO2 eq."
"2013","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.54878,"Million tonnes CO2 eq."
"2013","Climate Change (Short-Term)","Domestic production","CO2","Albania",2.70554,"Million tonnes CO2 eq."
"2013","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.88503,"Million tonnes CO2 eq."
"2014","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",8.27758,"Million tonnes CO2 eq."
"2014","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",5.55767,"Million tonnes CO2 eq."
"2014","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.26204,"Million tonnes CO2 eq."
"2014","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.61478,"Million tonnes CO2 eq."
"2014","Climate Change (Short-Term)","Domestic production","CO2","Albania",3.04649,"Million tonnes CO2 eq."
"2014","Climate Change (Short-Term)","Domestic production","N2O","Albania",0.94353,"Million tonnes CO2 eq."
"2015","Climate Change (Short-Term)","Consumption footprint","CH4","Albania",6.55695,"Million tonnes CO2 eq."
"2015","Climate Change (Short-Term)","Consumption footprint","CO2","Albania",4.73967,"Million tonnes CO2 eq."
"2015","Climate Change (Short-Term)","Consumption footprint","N2O","Albania",1.30578,"Million tonnes CO2 eq."
"2015","Climate Change (Short-Term)","Domestic production","CH4","Albania",3.90567,"Million tonnes CO2 eq."
